model,brand_name,price,price_original,price_currency,price_idr,rating,processor,processor_brand,processor_series,processor_score,processor_level,ram,ram_num,ram_class,memory_type,memory_size,storage_class,gpu_brand,gpu_type,gpu_score,gpu_level,os,os_family,display_size,display_class,resolution_height,resolution_width,resolution_class,touch_screen,touchscreen_label,warranty,warranty_class,price_class,label_kebutuhan,predicted_label,prediction_confidence,alasan_label,prob_administrasi_perkantoran,prob_desain_grafis,prob_editing_video,prob_programming
HP 15-fd0111TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,48999,48999,INR,9309810,4.2,12th Gen Intel Core i5 1235U,Intel,Core i5,3,Mid,16 GB DDR4 RAM,16,High,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
Lenovo LOQ 2024 15IAX9 83GS00CKIN Gaming Laptop (12th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 4GB Graph),Lenovo,62990,62990,INR,11968100,4.35,12th Gen Intel Core i5 12450HX,Intel,Core i5,3,Mid,24 GB DDR5 RAM,24,Premium,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
Asus TUF Gaming A15 FA566NCR-HN075W Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11 Home / 4GB Graph),Asus,64990,64990,INR,12348100,4.15,7th Gen AMD Ryzen 7 7435HS,AMD,Ryzen 7,4,High,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Editing Video,Editing Video,0.8364,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.1636,0.8364,0.0
Asus TUF Gaming A15 FA566NFR-HN260W Laptop (AMD Ryzen 7 7435HS/ 8GB / 512GB SSD/ Win11 Home / 4GB Graph),Asus,70990,70990,INR,13488100,4.1,7th Gen AMD Ryzen 7 7435HS,AMD,Ryzen 7,4,High,8 GB DDR5 RAM,8,Standard,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Desain Grafis,Desain Grafis,0.6095,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,0.6095,0.3905,0.0
HP Victus 15-fa0333TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX 3050),HP,67800,67800,INR,12882000,4.2,12th Gen Intel Core i5 12450H,Intel,Core i5,3,Mid,16 GB DDR4 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
Asus TUF Gaming A15 FA566NC-HN083WS Laptop (AMD Ryzen 5 7535HS/ 16GB / 512GB SSD/ Win11 Home / 4GB Graph),Asus,61990,61990,INR,11778100,4.4,7th Gen AMD Ryzen 5 7535HS,AMD,Ryzen 5,3,Mid,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
Honor MagicBook Art 14 2024 Laptop (Intel Core Ultra 5 125H/ 32GB/ 1TB SSD/ Win11 Home),Honor,97990,97990,INR,18618100,4.3,Intel Core Ultra 5 Series 1 125H,Intel,Core Ultra 5,3,Mid,32 GB LPDDR5 RAM,32,Premium,SSD,1000,Large,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,14.6,Medium,3120,2080,High Resolution,True,Yes,1,1 Year,High,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
Infinix Zero Book Ultra AI PC ZL514 Laptop (Intel Core Ultra 9 185H/ 32GB/ 1TB SSD/ Win 11 Home),Infinix,85990,85990,INR,16338100,4.7,Intel Core Ultra 9 Series 1 185H,Intel,Core Ultra 9,5,Premium,32 GB LPDDR5X RAM,32,Premium,SSD,1000,Large,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Programming,Programming,0.9993,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0007,0.0,0.0,0.9993
Colorful Evol P15 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),Colorful,83990,83990,INR,15958100,4.45,13th Gen Intel Core i7 13620H,Intel,Core i7,4,High,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,2560,1440,Full HD,False,No,1,1 Year,High,Editing Video,Editing Video,0.9862,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0138,0.9862,0.0
Colorful Evol P15 23-HE55D16512A-G-IND Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Colorful,59990,59990,INR,11398100,4.25,12th Gen Intel Core i5 12500H,Intel,Core i5,3,Mid,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,2,2 Years,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
MSI Katana A17 AI B8VE-884IN Gaming Laptop (AMD Ryzen 9 8945HS/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),MSI,102090,102090,INR,19397100,4.65,8th Gen AMD Ryzen 9 8945HS,AMD,Ryzen 9,5,Premium,16 GB DDR5 RAM,16,High,SSD,1000,Large,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,17.3,Large,1920,1080,Full HD,False,No,2,2 Years,High,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Gigabyte G6 MF-H2IN853SH Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Gigabyte,74990,74990,INR,14248100,4.35,13th Gen Intel Core i7 13620H,Intel,Core i7,4,High,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,16.0,Large,1920,1200,Full HD,False,No,2,2 Years,High,Editing Video,Editing Video,0.9994,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0006,0.9994,0.0
Acer Swift Go 14 SFG14-71 NX.KF1SI.007 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),Acer,69990,69990,INR,13298100,4.0,13th Gen Intel Core i7 13700H,Intel,Core i7,4,High,16 GB LPDDR5 RAM,16,High,SSD,1000,Large,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,14.0,Medium,2880,1800,Full HD,False,No,1,1 Year,Medium,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
Red Magic Titan 16 Pro Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),Red,120999,120999,INR,22989810,4.3,14th Gen Intel Core i9 14900HX,Intel,Core i9,5,Premium,16 GB DDR5 RAM,16,High,SSD,1000,Large,NVIDIA,Dedicated,4,Dedicated High,Windows 11,Windows,16.0,Large,2560,1600,Full HD,False,No,1,1 Year,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Asus Vivobook 15 X1504VA-NJ540WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,50990,50990,INR,9688100,4.6,13th Gen Intel Core i5 1335U,Intel,Core i5,3,Mid,16 GB DDR4 RAM,16,High,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
HP Victus 15-fa1333TX Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graphics RTX 4060),HP,94990,94990,INR,18048100,4.05,13th Gen Intel Core i7 13620H,Intel,Core i7,4,High,16 GB DDR4 RAM,16,High,SSD,1000,Large,NVIDIA,Dedicated,4,Dedicated High,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Editing Video,Editing Video,0.9999,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0001,0.9999,0.0
Acer Aspire 3 A324-51 UN.343SI.00A Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),Acer,55990,55990,INR,10638100,4.2,12th Gen Intel Core i7 1255U,Intel,Core i7,4,High,16 GB  RAM,16,High,SSD,1000,Large,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,14.0,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
MSI Modern 15 H AI C1MG-049IN Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11 Home),MSI,52400,52400,INR,9956000,4.65,Intel Core Ultra 5 Series 1 125H,Intel,Core Ultra 5,3,Mid,16 GB DDR5 RAM,16,High,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
Lenovo Legion 7 16IRX9 83FD000XIN Gaming Laptop (14th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB RTX 4070 Graph),Lenovo,209690,209690,INR,39841100,4.7,14th Gen Intel Core i9 14900HX,Intel,Core i9,5,Premium,32 GB DDR5 RAM,32,Premium,SSD,1000,Large,NVIDIA,Dedicated,4,Dedicated High,Windows 11,Windows,16.0,Large,3200,2000,High Resolution,False,No,1,1 Year,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
MSI Modern 14 C12MO-1203IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),MSI,42990,42990,INR,8168100,4.65,12th Gen Intel Core i5 1235U,Intel,Core i5,3,Mid,16 GB DDR4 RAM,16,High,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,14.0,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
HP 15s-fy5009TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,49500,49500,INR,9405000,4.0,12th Gen Intel Core i5 1235U,Intel,Core i5,3,Mid,16 GB DDR4 RAM,16,High,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
Acer Chromebook Plus 515 CB515-2H ‎NX.KNUSI.002 Laptop (13th Gen Core i3 1315U/ 8GB/ 256GB SSD/ Chrome OS),Acer,22990,22990,INR,4368100,4.05,13th Gen Intel Core i3 1315U,Intel,Core i3,2,Basic,8 GB  RAM,8,Standard,SSD,256,Basic,Intel,Integrated,1,Integrated Basic,Chrome,Chrome,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Low,Administrasi/Perkantoran,Administrasi/Perkantoran,1.0,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",1.0,0.0,0.0,0.0
Acer Chromebook Plus 514 CB514-4H ‎NX.KUTSI.002 Laptop (Intel Core i3-N305/ 8GB/ 256GB SSD/ Chrome OS),Acer,18990,18990,INR,3608100,4.0,Intel Core i3 N305,Intel,Core i3,2,Basic,8 GB  RAM,8,Standard,SSD,256,Basic,Intel,Integrated,1,Integrated Basic,Chrome,Chrome,14.0,Medium,1920,1080,Full HD,False,No,1,1 Year,Low,Administrasi/Perkantoran,Administrasi/Perkantoran,1.0,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",1.0,0.0,0.0,0.0
Asus ROG Strix G16 G614JI-BG711WS Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),Asus,149990,149990,INR,28498100,4.55,13th Gen Intel Core i7 13650HX,Intel,Core i7,4,High,16 GB DDR5 RAM,16,High,SSD,1000,Large,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,16.0,Large,1920,1200,Full HD,False,No,1,1 Year,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Lenovo LOQ 83DV007GIN Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo,87190,87190,INR,16566100,4.15,13th Gen Intel Core i5 13450HX,Intel,Core i5,3,Mid,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
Infinix GT Book GL613 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home/ 6GB RTX 4050 Graphics),Infinix,69990,69990,INR,13298100,4.1,13th Gen Intel Core i5 13420H,Intel,Core i5,3,Mid,16 GB LPDDR5X RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,16.0,Large,1920,1200,Full HD,False,No,1,1 Year,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
HP Victus 15-fa1312TX Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB RTX 2050),HP,64490,64490,INR,12253100,4.05,12th Gen Intel Core i5 12450H,Intel,Core i5,3,Mid,8 GB DDR4 RAM,8,Standard,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
Asus TUF Gaming F15 FX507VV-LP287W Gaming Laptop (13th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),Asus,104990,104990,INR,19948100,4.05,13th Gen Intel Core i7 13620H,Intel,Core i7,4,High,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Editing Video,Editing Video,0.9902,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0098,0.9902,0.0
Lenovo LOQ 15IRX9 83DV00BHIN Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050),Lenovo,72990,72990,INR,13868100,4.05,13th Gen Intel Core i5 13450HX,Intel,Core i5,3,Mid,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
Dell Inspiron 3530 OIN353034071RINS1M Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Dell,48899,48899,INR,9290810,4.05,13th Gen Intel Core i5 1334U,Intel,Core i5,3,Mid,16 GB DDR4 RAM,16,High,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
HP Victus 15-fa1226TX Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB RTX 2050),HP,56490,56490,INR,10733100,4.15,12th Gen Intel Core i5 12450H,Intel,Core i5,3,Mid,8 GB DDR4 RAM,8,Standard,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
HP 15-fd0186TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,38995,38995,INR,7409050,4.1,13th Gen Intel Core i3 1315U,Intel,Core i3,2,Basic,8 GB DDR4 RAM,8,Standard,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Low,Administrasi/Perkantoran,Administrasi/Perkantoran,1.0,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",1.0,0.0,0.0,0.0
Dell G15 5530 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ RTX 4060 8GB Graph),Dell,118990,118990,INR,22608100,4.55,13th Gen Intel Core i7 13650HX,Intel,Core i7,4,High,16 GB DDR5 RAM,16,High,SSD,1000,Large,NVIDIA,Dedicated,4,Dedicated High,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
MSI Pulse 16 AI C1VFKG-030IN Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),MSI,141990,141990,INR,26978100,4.55,Intel Core Ultra 7 155H,Intel,Core Ultra 7,4,High,16 GB DDR5 RAM,16,High,SSD,1000,Large,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,16.0,Large,2560,1600,Full HD,False,No,2,2 Years,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Acer Nitro V ANV15-41 NH.QPFSI.003 Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050 Graph),Acer,71990,71990,INR,13678100,4.25,7th Gen AMD Ryzen 7 7735HS,AMD,Ryzen 7,4,High,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Editing Video,Editing Video,0.9417,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0583,0.9417,0.0
Samsung Galaxy Book 4 NP750XGJ-KG3IN Laptop (Intel Core i7 1355U/ 16GB/ 512GB SSD/ Win11),Samsung,67810,67810,INR,12883900,4.6,13th Gen Intel Core i7 1355U,Intel,Core i7,4,High,16 GB LPDDR4x RAM,16,High,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Programming,Programming,1.0,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0,0.0,0.0,1.0
MSI Raider GE68HX 14VIG-469IN Gaming Laptop (14th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),MSI,289990,289990,INR,55098100,4.3,14th Gen Intel Core i9 14900HX,Intel,Core i9,5,Premium,32 GB DDR5 RAM,32,Premium,SSD,1000,Large,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,16.0,Large,2560,1600,Full HD,False,No,2,2 Years,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Lenovo IdeaPad Pro 5 83D2001GIN Gaming Laptop (Intel Core Ultra 9 185H/ 32GB/ 1TB SSD/ Win11),Lenovo,104990,104990,INR,19948100,4.0,Intel Core Ultra 9 Series 1 185H,Intel,Core Ultra 9,5,Premium,32 GB LPDDR5X RAM,32,Premium,SSD,1000,Large,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,14.0,Medium,2880,1800,Full HD,False,No,1,1 Year,High,Programming,Programming,0.9994,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0005,0.0,0.0001,0.9994
MSI Crosshair 16 HX D14VGKG-205IN Gaming Laptop (14th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB RTX4070),MSI,169990,169990,INR,32298100,4.5,14th Gen Intel Core i7 14700HX,Intel,Core i7,4,High,32 GB DDR5 RAM,32,Premium,SSD,1000,Large,NVIDIA,Dedicated,4,Dedicated High,Windows 11,Windows,16.0,Large,2560,1440,Full HD,False,No,2,2 Years,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Dell G15-5530 15.6 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),Dell,69490,69490,INR,13203100,4.7,13th Gen Intel Core i5 13450HX,Intel,Core i5,3,Mid,8 GB DDR5 RAM,8,Standard,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
Acer Predator Helios 16 ‎PH16-72 NH.QNZSI.002 Gaming Laptop (14th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 12GB Graph),Acer,244990,244990,INR,46548100,4.6,14th Gen Intel Core i9 14900HX,Intel,Core i9,5,Premium,32 GB DDR5 RAM,32,Premium,SSD,1000,Large,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,16.0,Large,2560,1600,Full HD,False,No,1,1 Year,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Acer Predator Helios Neo 16 ‎PHN16-72 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),Acer,171900,171900,INR,32661000,4.05,14th Gen Intel Core i9 14900HX,Intel,Core i9,5,Premium,16 GB DDR5 RAM,16,High,SSD,1000,Large,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,16.0,Large,2560,1600,Full HD,False,No,1,1 Year,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Acer Aspire Lite AL15-41 Laptop (AMD Ryzen 3 5300U/ 16GB/ 512GB SSD/ Win11),Acer,29990,29990,INR,5698100,4.25,5th Gen AMD Ryzen 3 5300U,AMD,Ryzen 3,2,Basic,16 GB DDR4 RAM,16,High,SSD,512,Standard,AMD,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Low,Administrasi/Perkantoran,Administrasi/Perkantoran,0.9991,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",0.9991,0.0,0.0,0.0009
Acer Aspire Lite AL15-41 Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11),Acer,25990,25990,INR,4938100,4.05,5th Gen AMD Ryzen 3 5300U,AMD,Ryzen 3,2,Basic,8 GB DDR4 RAM,8,Standard,SSD,512,Standard,AMD,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Low,Administrasi/Perkantoran,Administrasi/Perkantoran,0.9999,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",0.9999,0.0,0.0,0.0001
HP Omen 14-fb0089TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),HP,125990,125990,INR,23938100,4.5,Intel Core Ultra 7 Series 1 155H,Intel,Core Ultra 7,4,High,16 GB LPDDR5x RAM,16,High,SSD,1000,Large,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,14.0,Medium,2880,1800,Full HD,False,No,1,1 Year,Premium,Editing Video,Editing Video,0.9997,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0003,0.9997,0.0
Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),Samsung,54590,54590,INR,10372100,4.45,Intel Core 5 Processor Series 1 120U,Intel,Other,2,Basic,16 GB LPDDR4x RAM,16,High,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Administrasi/Perkantoran,Administrasi/Perkantoran,0.9801,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",0.9801,0.0,0.0,0.0199
